Date,City,Cause of Death
5/18/2013,Kabul -  Afghanistan,Veh. Accid-Auto
6/8/2013,FOB Sharana -  Afghanistan,Terrorist Action
7/2/2013,Kabul -  Afghanistan,Terrorist Action
7/28/2013,Herat -  Afghanistan,Other Accident
8/14/2013,Jalalabad -  Afghanistan,Suicide
8/21/2013,Shukvani -  Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Terrorist Action
12/26/2013,Kajaki -  Helmand -  Afghanistan,Homicide
1/10/2014,Bagram - Parwan,Air Accident
1/17/2014,Kabul,Terrorist Action
1/17/2014,Kabul,Terrorist Action
1/17/2014,Kabul,Terrorist Action
2/10/2014,Pol-e Charkhi  - Kabul,Terrorist Action
2/10/2014,Pol-e Charkhi - Kabul,Terrorist Action
3/21/2014,Kabul,Terrorist Action
4/18/2014,Mazar-e Sharif - Balkh,Homicide
4/24/2014,Darulaman - Kabul,Terrorist Action
4/24/2014,Darulaman - Kabul,Terrorist Action
4/24/2014,Darulaman - Kabul,Terrorist Action
7/30/2014,Dand  - Kandahar,Terrorist Action
1/14/2015,Afghanistan/Pakistan Border,Hostage-related 
1/29/2015,Kabul,Terrorist Action
1/29/2015,Kabul,Terrorist Action
1/29/2015,Kabul,Terrorist Action
5/13/2015,Kabul,Terrorist Action
8/22/2015,Kabul,Terrorist Action
8/22/2015,Kabul,Terrorist Action
8/22/2015,Kabul,Terrorist Action
12/21/2015,Kabul,Terrorist Action
6/5/2016,Helmand Province,Terrorist Action
1/21/2018,Kabul City -  Kabul,Terrorist Action
1/21/2018,Kabul City -  Kabul,Terrorist Action
1/21/2018,Kabul City -  Kabul,Terrorist Action
1/21/2018,Kabul City -  Kabul,Terrorist Action
1/14/2019,Kabul City -  Afghanistan,Terrorist Action
6/19/2019,Shindand -  Afghanistan,Terrorist Action
6/22/2010,Albania,Veh. Accid-Auto
6/22/2010,Albania,Veh. Accid-Auto
12/17/2011,Tepelene -  Albania,Veh. Accid-Auto
11/20/2014,Tirana,Veh. Accid-Auto
1/1/2005,Hassi Messaoud -  Ouargla -  Algeria,Suicide
1/18/2013,Amenas -  Illizi,Terrorist Action
1/20/2013,Amenas -  Illizi,Terrorist Action
1/20/2013,Amenas -  Illizi,Terrorist Action
12/20/2005,Cabinda -  Angola,Suicide
1/12/2007,Alvalade Clinic -  Luanda -  Luanda,Homicide
12/12/2011,Luanda -  Angola,Drowning
3/25/2017,Luanda,Veh. Accid-Auto
