Date,City,Cause of Death
1/21/2017,British Columbia,Other Accident
3/14/2017,Lake Louise,Natural Disaster
3/23/2017,British Columbia,Other Accident
4/12/2017,Ontario,Veh. Accid-Auto
7/5/2017,Vancouver -  British Columbia,Suicide
7/20/2017,Halifax -  Nova Sotia,Other Accident
8/13/2017,Canada Place - Vancouver - BC,Veh. Accid-Bus
8/16/2017,Hanna -  Alberta,Veh. Accid-Auto
8/16/2017,Hanna -  Alberta,Veh. Accid-Auto
8/16/2017,Hanna -  Alberta,Veh. Accid-Auto
8/16/2017,Saskatoon -  Saskatchewan,Other Accident
1/13/2018,Kelowna -  British Columbia,Undetermined/Unknown
1/21/2018,Lethbridge -  Alberta,Suicide
1/31/2018,Ponoka -  Alberta,Undetermined/Unknown
6/1/2018,The Wolves -  New Brunswick,Drowning
6/9/2018,Ville Marie - Quebec,Homicide
6/26/2018,Montreal -  Quebec,Veh. Accid-Auto
7/11/2018,Quebec - Quebec Province,Other Accident
8/6/2018,Dogskin Lake -  Manitoba,Drowning
8/7/2018,Jasper -  Alberta,Veh. Accid-Auto
8/7/2018,Jasper -  Alberta,Veh. Accid-Auto
8/16/2018,Cherhill -  Alberta,Air Accident
8/17/2018,Lake of the Woods -  Ontario,Drowning
8/25/2018,St. John's -  Newfoundland and Labrador,Other Accident
9/15/2018,Barrio Lake -  Kemptville -  Nova Scotia,Drowning
3/23/2019,Whistler -  Canada,Other Accident
2/23/2003,Grand Cayman -  Cayman Islands,Drowning
2/23/2003,Salt Creek Dyke Road -  West Bay Road -  Grand Cayman -  Cayman Islands,Drowning
11/11/2003,Georgetown -  Grand Cayman -  Cayman Islands,Drowning
2/9/2004,Cayman Islands,Drowning
3/3/2004,West Bay -  Cayman Islands,Drowning
12/10/2004,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
3/6/2005,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
3/6/2005,Grand Cayman -  Cayman Islands,Veh. Accident-Auto
2/15/2006,George Town -  Grand Cayman -  Cayman Islands,Maritime Accident
2/15/2006,George Town -  Grand Cayman -  Cayman Islands,Maritime Accident
6/20/2006,George Town -  Grand Cayman -  Cayman Islands,Drowning
6/20/2006,George Town -  Grand Cayman -  Cayman Islands,Drowning
7/13/2006,Little Cayman -  Cayman Islands,Drowning
7/19/2006,George Town -  Cayman Islands,Drowning
9/27/2007,Grand Cayman -  Cayman Islands,Drowning
1/29/2008,Grand Cayman -  Cayman Islands,Drowning
2/3/2008,Negril -  Cayman Islands,Drug-Related
2/13/2008,Little Cayman -  Cayman Islands,Drowning
11/4/2008,Grand Cayman,Drowning
8/22/2014,George Town - Grand Cayman,Suicide
10/27/2014,Grand Cayman,Homicide
1/20/2016,George Town,Drowning
1/26/2016,George Town,Drowning
3/16/2016,Cayman Brac,Drowning
3/24/2016,George Town,Drowning
4/7/2016,George Town,Drowning
5/27/2016,Geroge Town,Drowning
6/1/2016,George Town,Drowning
2/5/2018,George Town -  Grand Cayman,Drowning
2/12/2018,George Town -  Grand Cayman,Drowning
2/12/2018,George Town -  Grand Cayman,Drowning
4/20/2018,George Town -  Grand Cayman  ,Drowning
5/10/2018,George Town -  Grand Cayman,Drowning
5/15/2018,George Town -  Grand Cayman,Drowning
5/19/2018,George Town -  Grand Cayman,Drowning
1/3/2019,George Town -  Cayman Islands,Drowning
4/29/2019,George Town -  Cayman Islands,Drowning
5/15/2019,Grand Cayman -  Cayman Islands,Drowning
10/7/2002,Gadjibian -  Chad,Veh. Accident-Auto
4/10/2003,Santiago -  Chile,Homicide
5/11/2003,San Pedro De Atacama -  Chile,Veh. Accident-Auto
8/20/2003,San Felipe -  Chile,Other Accident
1/28/2004,Manso River -  Llanada Grande -  Cochamo -  Chile,Drowning
9/28/2004,Santiago -  Chile,Suicide
2/18/2005,Torres Del Paine -  Chile,Other Accident
3/6/2006,Santiago -  Chile,Suicide
3/22/2006,Arica -  Chile,Veh-Accident-Bus
4/7/2006,Quillota -  Chile,Drowning
4/16/2006,Valdivia -  Chile,Suicide
1/13/2007,El Canelo -  El Cajon Del Maipo -  Santiago -  Chile,Veh. Accident-Auto
7/27/2007,Temuco -  Chile,Veh. Accid-Auto
8/3/2007,Cerro La Campana Limache -  Chile,Other Accident
2/18/2008,Santiago -  Chile,Veh. Accid-Pedestr.
8/29/2008,Putre -  Chile,Veh. Accid-Bus
8/29/2008,Putre -  Chile,Veh. Accid-Bus
11/4/2008,Santiago -  Chile,Homicide
12/19/2008,Santiago -  Chile,Other Accident
2/13/2009,Caldera -  Chile,Other Accident
3/12/2009,Sector Pajaritos -  Chile,Veh. Accid-Other
1/11/2011,Calama -  Chile,Veh. Accid-Motorcy.
7/19/2011,Santiago -  Chile,Other Accident
11/15/2011,Puerto Varas -  Chile,Drowning
10/28/2012,Santiago -  Chile,Other Accident
1/9/2013,Coyhaique -  Chile,Drowning
9/5/2014,Temuco,Homicide
9/20/2014,Santiago,Veh. Accid-Other
12/9/2014,San Fernando,Veh. Accid-Auto
12/23/2014,Santiago -  Santiago,Veh. Accid-Motorcy.
6/16/2015,Santa Cruz,Suicide
11/23/2016,Los Andes -  Los Andes,Air Accident
1/15/2017,Talcahuano,Veh. Accid-Auto
1/28/2017,Pucon,Drowning
4/28/2017,Province Of Llanquihue,Drowning
5/14/2017,Iquique,Veh. Accid-Auto
10/23/2017,San Jose De Maipo -  Cordillera,Other Accident
1/25/2018,Puerto Natales -  Ultima Esperanza,Other Accident
10/13/2018,Parque Nacional Laguna Del Laja -  Antuco,Drowning
10/13/2018,Parque Nacional Laguna Del Laja -  Antuco,Drowning
3/12/2019,Curico -  Chile,Other Accident
4/19/2019,Vina Del Mar -  Chile,Suicide
11/24/2002,Shanghai -  China,Other Accident
12/4/2002,Chongqing -  China,Veh. Accident-Auto
12/31/2002,Zhaoqing City -  Guangdong -  China,Other Accident
3/29/2003,Cao Xi Bei Rd. Shanghai  - china,Other Accident
4/2/2003,Donghai Road -  Qingdao City -  China,Veh. Accident-Auto
4/5/2003,Beijing -  China,Drug-Related
7/4/2003,Xicheng -  Beijing -  China,Suicide
9/6/2003,Zigui County -  Hubei Province -  China,Natural Disaster
9/14/2003,Chongqing -  China,Homicide
10/23/2003,Dulan County -  Qinghai Province -  China,Veh. Accident-Auto
1/22/2004,Nanning City -  Guangxi -  China,Other Accident
5/1/2004,Dalian City -  China,Veh. Accident-Auto
6/9/2004,Beijing -  China,Other Accident
6/13/2004,Shanghai -  China,Suicide
6/14/2004,Yang Jiang -  Guangdong -  China,Drowning
7/4/2004,Guangxi -  China,Veh. Accident 
7/15/2004,Sanmenxia City -  Henan Province -  China,Other Accident
7/21/2004,Hefei -  Anhui Province -  China,Suicide
7/24/2004,At 351 Km+700m Xi Cheng High Way To Wu Xi -  China,Veh. Accident - Auto
7/24/2004,At 351 Km+700m Xi Cheng High Way To Wu Xi -  China,Veh. Accident - Auto
8/5/2004,Huizhou -  Guangdong -  China,Other Accident
4/14/2005,Guangzhou City -  Guangdong Province -  China,Veh. Accident-Pedestrian
5/5/2005,Lanping Country -  Yunnan Province -  China,Veh. Accident-Motorcycle
5/9/2005,Ningde -  Fujian Province -  China,Veh. Accident-Auto
9/23/2005,No. 80 Zhongguancun Donglu -  Beijing -  China,Other Accident
10/21/2005,Jiangsu -  China,Veh. Accident-Auto
10/26/2005,Zhang Chang Highway -  Jiangxi -  Province -  China,Veh. Accident-Auto
11/2/2005,Zhongshan City -  Guangdong Province -  China,Veh. Accident-Auto
11/2/2005,Zhongshan City -  Guangdong Province -  China,Veh. Accident-Auto
11/14/2005,Fenggang Town -  Guangdong Province -  China,Suicide
11/18/2005,Yueyang -  Hunan Province -  China,Suicide
12/23/2005,Beijing -  China,Drug-Related
1/14/2006,Shenyang -  Liaoning Province -  China,Other Accident
1/24/2006,Beijing -  China,Drug-Related
2/18/2006,Na Zhu Di Village -  Shang Pa Town -  Fugong County -  Nujiang Prefecture -  Yunnan -  China,Drowning
2/22/2006,Beijing -  China,Drug-Related
2/28/2006,Beijing -  China,Homicide
3/1/2006,Xi’an -  Shaanxi -  China,Suicide
3/18/2006,Zhongshan -  Guangdong -  China,Other Accident
5/3/2006,Sanya -  Hainan -  China,Other Accident
5/23/2006,Beijing -  China,Suicide
6/27/2006,Beijing -  China,Veh. Accident-Auto
7/25/2006,Shenzhen - guangdong -  China,Other Accident
10/3/2006,Harbin -  Heilonjiang -  China,Other Accident
10/7/2006,Shanghai -  China,Other Accident
10/7/2006,Shanghai -  China,Other Accident
10/30/2006,Shanghai -  China,Suicide
11/7/2006,Guangzhou City -  Guangdong Province -  China,Suicide
11/21/2006,Shanghai -  China,Other Accident
11/29/2006,Qingdao -  Shandong -  China,Other Accident
12/19/2006,Beijing -  China,Veh. Accident-Auto
1/14/2007,Yuzhong District -  Chongqing -  China,Other Accident
1/25/2007,Guangzhou City -  Guangdong Province -  China,Homicide
3/3/2007,Hohhot -  Inner Mongolia,Veh. Accident-Auto
3/12/2007,Binhai Xincun -  Tanggu -  Tianjin -  China,Drug-Related
3/27/2007,Longsheng -  Guangxi -  China,Drowning - Pool 
5/10/2007,Fang Zheng County -  Heilongjiang Province -  Harbin -  Heilongjiang,Veh. Accident-Auto
5/12/2007,Jiangmen Section Of Fo-kai Express Way -  Jiangmen -  Guangdong,Veh. Accident-Auto
5/30/2007,Jiaohe City -  Jiaohe -  Jilin -  China,Veh. Accident-Auto
6/20/2007,Beijing -  China,Other Accident
7/9/2007,Changle -  Fujian -  China,Drowning-Ocean
8/26/2007,Xier Town - mile County -  Yunnan -  China,Drowning-River
9/14/2007,Nie La -  Tibet -  Autonomous Region -  China,Other Accident
10/5/2007,Shenzhen -  Guangdong -  China,Suicide
10/29/2007,Qingnian Road -  Kunming -  Yunnan -  China,Veh. Accid-Auto
11/9/2007,Beijing -  China,Drug-Related
11/30/2007,Jing-zhu Expressway -  Baoding City -  Baoding -  Hebei -  China,Veh. Accid-Auto
12/24/2007,Beijing -  China,Suicide
12/27/2007,Sun Bay -  Sanya -  Hainan -  China,Drowning
1/25/2008,Harbin -  Heilonjiang - china,Maritime Accident
3/21/2008,Shenyang -  Liaoning -  China,Suicide
3/28/2008,Beijing -  China,Disaster
3/29/2008,Sanya -  Hainan -  China,Other Accident
5/3/2008,Mawei District -  Fuzhou -  Fujian -  China,Veh. Accid-Motorcy.
5/28/2008,Lianjiang -  Fujian -  China,Veh. Accid-Other
5/29/2008,Beijing -  China,Homicide
7/29/2008,Chongqing -  Chongqing Municipality -  China,Veh. Accid-Auto
8/5/2008,Beijing -  China,Other Accident
8/9/2008,Beijing -  China,Homicide
11/1/2008,Wuhan -  Hubei -  China,Other Accident
1/14/2009,Haikou -  Hainan -  China,Veh. Accid-Motorcy.
4/7/2009,Beijing -  China,Drug-Related
4/25/2009,Beijing -  China,Other Accident
5/1/2009,Pudong -  Shanghai,Suicide
5/6/2009,Yuhua District -  Shijiazhuang -  Hebei -  China,Suicide
5/20/2009,Gong Ga Mountain -  Mo Xi Town -  Sichuan,Disaster
5/20/2009,Gong Ga Mountain -  Mo Xi Town -  Sichuan,Other Accident
5/20/2009,Gong Ga Mountain -  Mo Xi Town -  Sichuan,Other Accident
6/8/2009,Xinjiang -  China,Veh. Accid-Auto
6/21/2009,Xinhui -  Guangdong -  China,Other Accident
7/11/2009,Wen Zhou City - Zhejiang -  China,Other Accident
7/17/2009,ChangXing  - Shanghai -  China,Veh. Accid-Motorcy.
8/6/2009,Shenzhen - Guangdong -  China,Other Accident
9/4/2009,Jiuzhaigou County - Sichuan -  China,Other Accident
10/14/2009,Guangzhou - Guangdong -  China,Suicide
10/14/2009,WenZhou - Wenzhou -  China,Veh. Accid-Auto
10/23/2009,Jiaxing - Zhejiang -  China,Veh. Accid-Bus
10/31/2009,Beijing -  China,Other Accident
11/13/2009,Huijing Xin Cheng - Guangzhou - Guangdong -  China,Drowning
11/28/2009,Shanghai -  China,Air Accident
11/28/2009,Shanghai -  China,Air Accident
11/28/2009,Shanghai -  China,Air Accident
12/2/2009,Dongguan - Guangdong -  China,Suicide
12/7/2009,Xiaogan  - Hubei -  China,Veh. Accid-Auto
12/16/2009,Beijing -  China,Drug-Related
2/5/2010,Guangzhou - Guangdong -  China,Disaster
2/22/2010,Yixing - Jiangsu -  China,Veh. Accid-Motorcy.
4/17/2010,Fuzhou -  Fujian -  China,Veh. Accid-Auto
8/8/2010,Siming District -  Xiamen -  Fujian -  China,Other Accident
8/17/2010,Wulanchabu City -  Inner Mongolia -  China,Veh. Accid-Auto
10/27/2010,Tibet Autonomous Region -  China,Other Accident
11/12/2010,Changle -  Fujian -  China,Veh. Accid-Auto
12/6/2010,Taishan -  Guangdong -  China,Suicide
12/16/2010,Luojiang -  Sichuan -  China,Veh. Accid-Other
1/5/2011,Changzhou -  China,Veh. Accid-Auto
1/18/2011,Haikou -  Hainan -  China,Veh. Accid-Auto
2/4/2011,Sifang District -  Qingdao -  Shandong -  China,Other Accident
3/19/2011,Shanghai -  China,Veh. Accid-Motorcy.
4/21/2011,Changle -  Fujian -  China,Veh. Accid-Pedestr.
7/8/2011,Beijing -  China,Veh. Accid-Auto
7/23/2011,Wenzhou -  Zhejiang -  China,Veh. Accid-Train
7/23/2011,Wenzhou - Zheijiang -  China,Veh. Accid-Train
8/19/2011,Sanya -  Hainan -  China,Other Accident
10/20/2011,Shanghai -  China,Other Accident
11/18/2011,Baise -  Guangxi -  China,Veh. Accid-Auto
2/5/2012,Nanjing -  China,Suicide
2/26/2012,Changchun -  Jilin -  China,Suicide
3/2/2012,Hangzhou -  Zhejiang -  China,Suicide
3/24/2012,Fuzhou -  Fujian -  China,Homicide
5/3/2012,Qingdao -  Shandong -  China,Homicide
5/13/2012,Guangzhou -  China,Vehicle Accident - Auto
5/15/2012,Shanghai -  China,Suicide
5/18/2012,Tianjin -  China,Other Accident
5/30/2012,Fuzhou -  Fujian -  China,Suicide
6/6/2012,Shanghai -  China,Vehicle Accident - Auto
6/25/2012,Dalian -  Liaoning -  China,Other Accident
7/11/2012,Beijing -  China,Homicide
8/10/2012,Lianjiang -  Fujian -  China,Other Accident
9/1/2012,Pingyao -  Shanxi -  China,Other Accident
9/29/2012,Jiangmen -  Guangdong -  China,Other Accident
10/28/2012,Guangzhou -  China,Drowning
11/21/2012,Benxi -  Liaoning -  China,Vehicle Accident - Auto
1/7/2013,Fuzhou -  Fujian -  China,Drowning
1/17/2013,Jinghong - Yunnan -  China,Other Accident
2/7/2013,Shenzhen -  Guangdong -  China,Veh. Accid-Motorcy.
2/8/2013,Shenzhen -  Guangdong -  China,Veh. Accid-Motorcy.
2/25/2013,Shanghai -  China,Suicide
3/27/2013,Lian Yun Gang -  Jiangsu -  China,Air Accident
4/11/2013,Qingdao -  Shandong -  China,Suicide
4/29/2013,Hanshou County -  Hanan -  China,Veh. Accid-Bus
6/24/2013,Zhuhai -  Guangdong -  China,Homicide
7/3/2013,Wuzhou -  Guangxi -  China,Veh. Accid-Auto
7/17/2013,Chaoyang Joy City -  Beijing -  China,Homicide
7/22/2013,Daoli District -  Harbin -  Heilongjiang -  China,Suicide
7/23/2013,Shanghai -  China,Suicide
7/27/2013,Shanghai -  China,Veh. Accid-Auto
8/16/2013,Baiyun District -  Guangzhou -  Guangdong -  China,Other Accident
8/29/2013,Nanshan District -  Guangzhou -  Guangdong -  China,Veh. Accid-Auto
9/8/2013,Dali -  Yunnan -  China,Veh. Accid-Bus
9/17/2013,Shenyang -  Liaoning -  China,Drowning
9/18/2013,Donghu District -  Nanchang -  Jiangxi -  China,Suicide
9/28/2013,Bao An District -  Shenzhen -  Guangdong -  China,Other Accident
10/25/2013,Mawei District -  Fuzhou -  Fujian -  China,Other Accident
10/28/2013,Bailang Xian -  Shigatse -  Tibet -  China,Veh. Accid-Bus
10/28/2013,Bailang Xian -  Shigatse -  Tibet -  China,Veh. Accid-Bus
10/28/2013,Bailang Xian -  Shigatse -  Tibet -  China,Veh. Accid-Bus
1/23/2014,BangBu -  Anhui,Suicide
2/4/2014,High Way -  Ningbo,Veh. Accid-Auto
3/24/2014,Shanghai,Suicide
4/29/2014,Shenyang -  Liaoning,Veh. Accid-Auto
5/21/2014,Deqin -  Yunnan,Veh. Accid-Auto
5/26/2014,Dalian -  Liaoning,Suicide
8/18/2014,Dali -  Yunnan,Other Accident
9/8/2014,Zhuxi Da Dao - Nanning - Guangxi,Veh. Accid-Motorcy.
9/29/2014,Guangzhou - Guangdong,Veh. Accid-Motorcy.
1/8/2015, Gaoxin District -  Zhuhai - Guangdong,Veh. Accid-Motorcy.
2/10/2015,Shanghai,Suicide
4/1/2015,Guangzhou - Guangdong,Drowning
4/5/2015,Xiadong Village -  Tantou Town -  Changle,Other Accident
5/3/2015,SuiXi -  HuaiBei  - Anhui,Air Accident
5/6/2015,Beijing,Veh. Accid-Motorcy.
5/27/2015,Zhaoqing -  Guangdong,Other Accident
6/24/2015,Zaozhuang -  Shandong,Veh. Accid-Auto
6/27/2015,Suzhou -  Suzhou -  Jiangsu,Veh. Accid-Motorcy.
7/16/2015,Qingdao -  Shandong,Suicide
7/20/2015,Wuzhishan - Hainan,Other Accident
8/10/2015,Fuzhou - Fujian,Suicide
10/2/2015,Shanghai,Suicide
10/20/2015,Ningbo - Zhejiang,Veh. Accid-Auto
11/10/2015,Beijing,Veh. Accid-Auto
12/30/2015,Kaiping - Guangdong,Drowning
2/26/2016,Guangzhou,Suicide
2/28/2016,Shenzhen,Suicide
3/20/2016,Shanghai,Suicide
4/21/2016,Yueyang City,Suicide
4/24/2016,Tibet,Other Accident
4/26/2016,Xinghe County - Inner Mongolia,Veh. Accid-Auto
5/6/2016,Qingdao - Shandong,Suicide
8/2/2016,Hefei,Drowning
8/20/2016,Beijing,Veh. Accid-Motorcy.
8/25/2016,Dongguan -  Guangdong,Veh. Accid-Pedestr.
8/29/2016,Mudanjiang -  Heilongjiang,Veh. Accid-Auto
9/2/2016,Shanghai,Other Accident
9/20/2016,Enshi -  Hubei,Suicide
10/14/2016,Chaoyang -  Beijing,Other Accident
11/6/2016,Tongxiang,Veh. Accid-Auto
12/1/2016,Weihai -  Shandong,Drowning
12/14/2016,Haizhu District -  Guangzhou -  Guangdong,Suicide
12/29/2016,Meihua Town -  Changle -  Fujian,Veh. Accid-Bus
3/7/2017,Liaoning,Suicide
3/18/2017,Sichuan,Veh. Accid-Auto
3/21/2017,Beijing,Unknown/Undetermined
4/6/2017,Liaoning,Homicide
4/14/2017,Guangdong,Other Accident
4/15/2017,Guangdong,Veh. Accid-Pedestr.
5/4/2017,Fujian,Other Accident
8/29/2017,Guangzhou -  Guangdong,Suicide
1/9/2018,Huinan Town Pudong -  Shanghai,Suicide
1/15/2018,Zhongshan -  Guangdong,Suicide
1/20/2018,Shanghai -  Shanghai,Undetermined/Unknown
3/9/2018,Fuzhou -  Fujian,Veh. Accid-Auto
4/14/2018,Kaiping -  Guangdong,Drowning
4/19/2018,Guangzhou -  Guangdong,Veh. Accid-Auto
4/25/2018,Zhengzhou -  Henan,Air Accident
5/12/2018,Nanning -  Guangxi,Veh. Accid-Auto
5/29/2018,Dali -  Yunnan,Veh. Accid-Motorcy.
8/18/2018,Langfang -  Hebei,Suicide
9/2/2018,Shenzhen -  Guangdong,Suicide
10/8/2018,Beijing,Drowning
10/14/2018,Beijing,Other Accident
1/4/2019,Shanghai -  China,Other Accident
1/13/2019,Zhangjiakou -  China,Veh. Accid-Auto
1/18/2019,Shenzhen -  China,Veh. Accid-Auto
4/12/2019,Zhuhai -  China,Drowning
5/20/2019,Shanghai -  China,Suicide
6/1/2019,Wenzhou -  China,Drowning
6/10/2019,Batang County -  China,Drowning
6/27/2019,Shanghai -  China,Suicide
11/17/2002,Firavitoba -  Vereda Alcaparral -  Colombia,Homicide
12/13/2002,Finca La Pondorosa -  Vereda Montelargo -  Colombia,Homicide
12/22/2002,Red Zone -  Totoro Cauca -  Colombia,Homicide
1/9/2003,Cartago -  Valle -  Colombia,Homicide
1/27/2003,Medellin -  Colombia,Homicide
2/13/2003,Florencia -  Caqueta -  Colombia,Terrorist Action
2/14/2003,Cali -  Colombia,Homicide
3/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
3/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
3/25/2003,Cerro Del Sol -  Municipio De Paujil -  Caqueta -  Colombia,Air Accident
4/7/2003,Tablon De Gomez Vereda Las Mesas -  Narino -  Colombia,Air Accident
7/27/2003,Mirador De Antioquia -  San Jeronimo -  Colombia,Veh. Accident-Auto
7/29/2003,Alcala -  Colombia,Homicide
8/5/2003,Bogota -  Colombia,Homicide
8/17/2003,Sasaima -  Colombia,Homicide
8/19/2003,Bogota -  Colombia,Homicide
9/7/2003,Medellin -  Colombia,Veh. Accident-Auto
9/12/2003,Kilometro 84 Via Tulua -  Buga -  Colombia,Veh. Accident-Bus
9/22/2003,Soledad -  Colombia,Homicide
10/8/2003,Risaralda Clinic -  Bogota -  Columbia,Unknown
10/15/2003,Envigado -  Colombia,Homicide
12/12/2003,Parque Principal De Usaquen -  Bogota -  Colombia,Veh. Accident-Auto
12/27/2003,Cali -  Colombia,Homicide
1/6/2004,Clinica Rey David -  Cali -  Colombia,Homicide
2/14/2004,Armenia -  Colombia,Homicide
3/17/2004,Bogota -  Colombia,Veh. Accident-Auto
5/1/2004,Bogota -  Colombia,Homicide
5/28/2004,Cali -  Colombia,Homicide
5/28/2004,Cali -  Colombia,Homicide
7/9/2004,Alvarado -  Tolima -  Colombia,Veh. Accident-Auto
7/9/2004,Alvarado -  Tolima -  Colombia,Veh. Accident-Auto
2/24/2005,Cali -  Colombia,Homicide
3/26/2005,Bogota -  Colombia,Homicide
4/12/2005,Clinica Bucaramanga -  Bucaramanga -  Colombia,Drug-Related
5/15/2005,Club Mesa De Yeguas -  La Mesa -  Cundinamarca -  Colombia,Drowning
6/4/2005,Cali -  Colombia,Homicide
6/6/2005,Medellin -  Colombia,Homicide
7/17/2005,Clinica Nicolas De Federman -  Bogota -  Colombia,Veh. Accident-Auto
8/19/2005,Barranquilla -  Colombia,Homicide
9/19/2005,Bogota -  Colombia,Homicide
10/1/2005,Bucaramanga -  Colombia,Suicide
10/23/2005,Sector Aeropuerto Las Torres -  Rionegro -  Colombia,Veh. Accident-Auto
12/24/2005,Cali -  Colombia,Air Accident
12/24/2005,Zipaquira -  Colombia,Homicide
2/4/2006,Armenia -  Quindio -  Colombia,Homicide
3/3/2006,Santa Rosa De Cabal -  Colombia,Homicide
7/2/2006,Medellin -  Colombia,Homicide
7/15/2006,Medellin -  Colombia,Homicide
7/20/2006,Bogota -  Colombia,Homicide
9/5/2006,Barranquilla -  Colombia,Homicide
2/17/2007,San Luis Antioquia -  Colombia,Veh. Accident-Auto
2/17/2007,San Luis Antioquia -  Colombia,Veh. Accident-Auto
3/6/2007,Parque Tairona -  Santa Marta -  Colombia,Drowning
3/20/2007,Calle 63 Carrera 13 -  Bogota -  Colombia,Veh. Accident-Auto
3/29/2007,Cali -  Colombia,Homicide
4/10/2007,Barranquilla -  Colombia,Homicide
7/4/2007,San Jorge Pereira -  Colombia,Suicide
9/1/2007,San Jeronimo -  Colombia,Drowning
9/22/2007,Cali -  Colombia,Homicide
12/17/2007,Floridablanca -  Colombia,Homicide
2/12/2008,Tulua -  Columbia,Suicide
4/12/2008,Bogota -  Colombia,Homicide
7/11/2008,Bogota -  Columbia,Veh. Accid-Pedestr.
8/26/2008,Cartago -  Columbia,Homicide
10/18/2008,Tulua -  Columbia,Homicide
12/19/2008,San Bernardo Del Viento -  Columbia,Other Accident
1/16/2009,Tulua -  Columbia,Homicide
1/22/2009,Barranquilla -  Columbia,Homicide
1/22/2009,Cali -  Columbia,Homicide
1/22/2009,La Reforma -  Cali -  Columbia,Homicide
4/8/2009,Cali -  Columbia,Homicide
5/11/2009,Cali -  Columbia,Suicide
7/22/2009,Santa Marta -  Columbia,Drowning
8/12/2009,Mamonal - Cartagena -  Columbia,Maritime Accident
9/10/2009,Clinica Vargas - Cartagena -  Columbia,Homicide
12/25/2009,Cali -  Columbia,Drowning
2/13/2010,Cali -  Columbia,Homicide
5/24/2010,La Mesa -  Columbia,Homicide
5/27/2010,Medellin -  Columbia,Homicide
6/4/2010,Armenia -  Columbia,Homicide
7/2/2010,Envigado -  Colombia,Homicide
7/5/2010,Cali -  Colombia,Drug-Related
7/12/2010,Medellin -  Colombia,Homicide
7/29/2010,Tulua -  Colombia,Veh. Accid-Auto
8/4/2010,Bogota -  Colombia,Drug-Related
2/20/2011,Bogota -  Columbia,Homicide
2/28/2011,Medellin -  Columbia,Homicide
3/2/2011,Cocora -  Salento -  Columbia,Other Accident
7/12/2011,Flandes -  Colombia,Other Accident
11/1/2011,Cartagena -  Colombia,Suicide
12/7/2011,Bogota -  Colombia,Suicide
12/9/2011,Bogota -  Colombia,Drug-Related
12/13/2011,Gaira -  Santa Marta -  Colombia,Homicide
12/27/2011,Santa Marta -  Colombia,Drowning
1/14/2012,Medellin -  Colombia,Homicide
1/21/2012,Barranquilla -  Colombia,Homicide
1/23/2012,Bello -  Colombia,Homicide
2/4/2012,Bogota -  Colombia,Vehicle Accident - Auto
2/29/2012,Cartagena -  Colombia,Suicide
3/8/2012,San Francisco -  Colombia,Drowning
4/15/2012,Cali -  Colombia,Homicide
4/25/2012,Medellin -  Colombia,Homicide
5/30/2012,Medellin -  Colombia,Homicide
6/28/2012,Cartagena -  Colombia,Homicide
7/5/2012,Santa Marta -  Colombia,Drowning
7/30/2012,Bogota -  Colombia,Homicide
8/6/2012,Cartagema -  Colombia,Homicide
10/31/2012,Bogota -  Colombia,Vehicle Accident - Bus
11/20/2012,Bogota -  Colombia,Homicide
1/20/2013,Guatape -  Antiquia -  Colombia,Other Accident
1/24/2013,Cali -  Colombia,Suicide
5/23/2013,Cartagena-Barranquilla -  Piojo -  Colombia,Veh. Accid-Auto
5/23/2013,Piojo -  Colombia,Veh. Accid-Auto
5/23/2013,Santa Marta -  Colombia,Veh. Accid-Auto
6/21/2013,Bogota -  Colombia,Homicide
7/13/2013,Medellin -  Colombia,Suicide
8/10/2013,Sopetran -  Antioquia -  Colombia,Homicide
9/27/2013,Caqueta -  Caqueta -  Colombia,Air Accident
10/5/2013,Acandi -  Choco -  Colombia,Air Accident
10/5/2013,Acandi -  Choco -  Colombia,Air Accident
10/5/2013,Acandi -  Choco -  Colombia,Air Accident
10/8/2013,Santa Rosa De Cabal -  Colombia,Veh. Accid-Motorcy.
11/13/2013,Bogota -  Cundinamarca -  Colombia,Suicide
11/20/2013,Buenaventura -  Colombia,Homicide
12/12/2013,Medellin -  Colombia,Drug-Related
3/3/2014,Cartagena,Drug-Related
5/14/2014,Pereira,Veh. Accid-Bus
6/19/2014,Cali,Air Accident
9/8/2014,Cartagena,Other Accident
5/12/2015,Parque Tayrona -  Magdalena,Other Accident
8/3/2015,Bogota,Homicide
9/11/2015,Antioquia,Air Accident
9/11/2015,Antioquia,Air Accident
9/25/2015,Medellin,Homicide
1/24/2016,Cartagena,Homicide
5/30/2016,Barranquilla,Suicide
6/14/2016,Cartagena,Suicide
12/6/2016,Medellin -  Antioquia,Homicide
1/6/2017,Antioquia,Suicide
1/20/2017,Medellin,Homicide
2/23/2017,Antioquia,Suicide
7/21/2017,Medellin -  Antioquia,Homicide
7/25/2017,Santa Marta -  Magdalena,Homicide
11/28/2017,San Pedro -  Antioquia,Homicide
12/1/2017,Medellin -  Antioquia,Homicide
12/31/2017,Cartagena -  Bolivar,Other Accident
2/1/2018,Medellin -  Antioquia,Homicide
7/2/2018,Medellin -  Antioquia,Undetermined/Unknown
7/7/2018,Bogota,Homicide
