Date,City,Country,Cause of Death
8/7/2012,Logar Province -  Afghanistan,Afghanistan,Terrorist Action
8/8/2012,Kunar Province -  Afghanistan,Afghanistan,Homicide
8/8/2012,Kunar -  Afghanistan,Afghanistan,Terrorist Action
9/29/2012,Wardak Province -  Afghanistan,Afghanistan,Terrorist Action
10/5/2012,Urgon City -  Urgon -  Paktika,Afghanistan,Homicide
10/13/2012,Kabul -  Afghanistan,Afghanistan,Homicide
12/24/2012,Kabul -  Afghanistan,Afghanistan,Terrorist Action
3/8/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
4/6/2013,Kandahar -  Afghanistan,Afghanistan,Terrorist Action
4/6/2013,Qalat -  Afghanistan,Afghanistan,Terrorist Action
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
4/29/2013,Bagram -  Afghanistan,Afghanistan,Air Accident
5/16/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
5/16/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
5/16/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
5/16/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
5/18/2013,Kabul -  Afghanistan,Afghanistan,Veh. Accid-Auto
6/8/2013,FOB Sharana -  Afghanistan,Afghanistan,Terrorist Action
7/2/2013,Kabul -  Afghanistan,Afghanistan,Terrorist Action
7/28/2013,Herat -  Afghanistan,Afghanistan,Other Accident
8/14/2013,Jalalabad -  Afghanistan,Afghanistan,Suicide
8/21/2013,Shukvani -  Afghanistan,Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Afghanistan,Terrorist Action
11/29/2013,Bagram -  Afghanistan,Afghanistan,Terrorist Action
12/26/2013,Kajaki -  Helmand -  Afghanistan,Afghanistan,Homicide
1/10/2014,Bagram - Parwan,Afghanistan,Air Accident
1/17/2014,Kabul,Afghanistan,Terrorist Action
1/17/2014,Kabul,Afghanistan,Terrorist Action
1/17/2014,Kabul,Afghanistan,Terrorist Action
2/10/2014,Pol-e Charkhi  - Kabul,Afghanistan,Terrorist Action
2/10/2014,Pol-e Charkhi - Kabul,Afghanistan,Terrorist Action
3/21/2014,Kabul,Afghanistan,Terrorist Action
4/18/2014,Mazar-e Sharif - Balkh,Afghanistan,Homicide
4/24/2014,Darulaman - Kabul,Afghanistan,Terrorist Action
4/24/2014,Darulaman - Kabul,Afghanistan,Terrorist Action
4/24/2014,Darulaman - Kabul,Afghanistan,Terrorist Action
7/30/2014,Dand  - Kandahar,Afghanistan,Terrorist Action
