,Date,City,Country,Cause of Death,Year,Month
73,1/16/2012,Helmand -  Afghanistan,Afghanistan,air accident,2012,1
74,1/16/2012,Helmand -  Afghanistan,Afghanistan,air accident,2012,1
75,1/16/2012,Helmand -  Afghanistan,Afghanistan,air accident,2012,1
76,4/16/2012,Pul-i-Alam -  Logar -  Afghanistan,Afghanistan,terrorist action,2012,4
77,4/18/2012,Camp Eggers -  Kabul -  Afghanistan,Afghanistan,suicide,2012,4
78,5/5/2012,Afghanistan,Afghanistan,terrorist action,2012,5
79,6/1/2012,FOB Salerno -  Afghanistan,Afghanistan,terrorist action,2012,6
80,6/19/2012,Afghanistan,Afghanistan,terrorist action,2012,6
81,7/22/2012,Herat -  Afghanistan,Afghanistan,terrorist action,2012,7
82,7/22/2012,Herat -  Afghanistan,Afghanistan,terrorist action,2012,7
83,7/23/2012,Parwan Province -  Afghanistan,Afghanistan,homicide,2012,7
84,8/7/2012,Logar Province -  Afghanistan,Afghanistan,terrorist action,2012,8
85,8/8/2012,Kunar Province -  Afghanistan,Afghanistan,homicide,2012,8
86,8/8/2012,Kunar -  Afghanistan,Afghanistan,terrorist action,2012,8
87,9/29/2012,Wardak Province -  Afghanistan,Afghanistan,terrorist action,2012,9
88,10/5/2012,Urgon City -  Urgon -  Paktika,Afghanistan,homicide,2012,10
89,10/13/2012,Kabul -  Afghanistan,Afghanistan,homicide,2012,10
90,12/24/2012,Kabul -  Afghanistan,Afghanistan,terrorist action,2012,12
91,3/8/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,3
92,4/6/2013,Kandahar -  Afghanistan,Afghanistan,terrorist action,2013,4
93,4/6/2013,Qalat -  Afghanistan,Afghanistan,terrorist action,2013,4
94,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
95,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
96,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
97,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
98,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
99,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
100,4/29/2013,Bagram -  Afghanistan,Afghanistan,air accident,2013,4
101,5/16/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,5
102,5/16/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,5
103,5/16/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,5
104,5/16/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,5
105,5/18/2013,Kabul -  Afghanistan,Afghanistan,vehicle accident,2013,5
106,6/8/2013,FOB Sharana -  Afghanistan,Afghanistan,terrorist action,2013,6
107,7/2/2013,Kabul -  Afghanistan,Afghanistan,terrorist action,2013,7
108,7/28/2013,Herat -  Afghanistan,Afghanistan,other accident,2013,7
109,8/14/2013,Jalalabad -  Afghanistan,Afghanistan,suicide,2013,8
110,8/21/2013,Shukvani -  Afghanistan,Afghanistan,terrorist action,2013,8
111,11/29/2013,Bagram -  Afghanistan,Afghanistan,terrorist action,2013,11
112,11/29/2013,Bagram -  Afghanistan,Afghanistan,terrorist action,2013,11
113,12/26/2013,Kajaki -  Helmand -  Afghanistan,Afghanistan,homicide,2013,12
114,1/10/2014,Bagram - Parwan,Afghanistan,air accident,2014,1
115,1/17/2014,Kabul,Afghanistan,terrorist action,2014,1
116,1/17/2014,Kabul,Afghanistan,terrorist action,2014,1
117,1/17/2014,Kabul,Afghanistan,terrorist action,2014,1
118,2/10/2014,Pol-e Charkhi  - Kabul,Afghanistan,terrorist action,2014,2
119,2/10/2014,Pol-e Charkhi - Kabul,Afghanistan,terrorist action,2014,2
120,3/21/2014,Kabul,Afghanistan,terrorist action,2014,3
121,4/18/2014,Mazar-e Sharif - Balkh,Afghanistan,homicide,2014,4
122,4/24/2014,Darulaman - Kabul,Afghanistan,terrorist action,2014,4
123,4/24/2014,Darulaman - Kabul,Afghanistan,terrorist action,2014,4
124,4/24/2014,Darulaman - Kabul,Afghanistan,terrorist action,2014,4
125,7/30/2014,Dand  - Kandahar,Afghanistan,terrorist action,2014,7
126,1/14/2015,Afghanistan/Pakistan Border,Afghanistan,hostage-related,2015,1
127,1/29/2015,Kabul,Afghanistan,terrorist action,2015,1
128,1/29/2015,Kabul,Afghanistan,terrorist action,2015,1
129,1/29/2015,Kabul,Afghanistan,terrorist action,2015,1
130,5/13/2015,Kabul,Afghanistan,terrorist action,2015,5
131,8/22/2015,Kabul,Afghanistan,terrorist action,2015,8
132,8/22/2015,Kabul,Afghanistan,terrorist action,2015,8
133,8/22/2015,Kabul,Afghanistan,terrorist action,2015,8
134,12/21/2015,Kabul,Afghanistan,terrorist action,2015,12
135,6/5/2016,Helmand Province,Afghanistan,terrorist action,2016,6
136,1/21/2018,Kabul City -  Kabul,Afghanistan,terrorist action,2018,1
137,1/21/2018,Kabul City -  Kabul,Afghanistan,terrorist action,2018,1
